9.890417099 appendMilestone	60	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.759999930859 -1.97686247816e-07 1.98000019392 3.89753154195e-07 0.0 0.30000009736 4.13264132249e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.537101438161 -1.34417309312 0.977431272072 1.50296849174 1.41435564766 0.0 -0.736276517346 -1.5897977627 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3e-09 -6.28700413278e-08 0.0 2.14655432959e-08 -3e-09
9.890417099 appendMilestone	60	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.759999930859 -1.97686247816e-07 1.98000019392 3.89753154195e-07 0.0 0.30000009736 4.13264132249e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.545546902193 -1.40421697857 0.902690157966 1.4386048067 1.47721040275 0.0 -0.653529522021 -1.61742892096 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3e-09 -6.28700413278e-08 0.0 2.14655432959e-08 -3e-09
49.7484872341 commandGripper	right	1	1
54.7560961246 setMilestone	60	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.76 -1.97686e-07 1.98 3.89753e-07 0.0 0.3 4.13264e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.545547 -1.40422 0.90269 1.4386 1.47721 0.0 -0.65353 -1.61743 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3e-09 -6.287e-08 0.0 0.03 -0.03
54.7560961246 appendMilestone	60	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.76 -1.97686e-07 1.98 3.89753e-07 0.0 0.3 4.13264e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.851111457504 -0.978719736806 0.823000905478 1.03327927257 1.37698887746 0.0 -0.769687153891 -1.80527022929 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3e-09 -6.287e-08 0.0 0.03 -0.03
54.7560961246 appendMilestone	60	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.76 -1.97686000014e-07 1.98 3.89753e-07 0.0 0.3 4.13264e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.920489234231 -0.827334789721 0.796139476518 0.779043307631 1.41821901163 0.0 -0.72203524949 -1.97027509034 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3e-09 -6.287e-08 0.0 0.03 -0.03
66.253316164 commandGripper	right	1	0
74.1157300472 setMilestone	60	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.76 -1.97686000014e-07 1.98 3.89753e-07 0.0 0.3 4.13264e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.899383633155 -0.823061018489 0.861682838244 0.681805579543 1.53981662197 0.0 -0.686019646922 -2.17187527457 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3e-09 -6.287e-08 0.0 0.0 0.0
80.6053411961 setMilestone	60	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.76 -1.97686000014e-07 1.98 3.89753e-07 0.0 0.3 4.13264e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.999506544293 -1.18621129257 0.825082786124 1.22308720514 1.41053012675 0.0 -1.22497910418 -1.68347326729 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3e-09 -6.287e-08 0.0 0.0 0.0
97.0321700573 setMilestone	60	0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.76 -1.97686000014e-07 1.98 3.89753e-07 0.0 0.3 4.13264e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.999506544293 -1.18621129257 0.825082786124 1.22308720514 1.41053012675 0.0 -1.22497910418 -1.68347326729 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3e-09 -6.287e-08 0.0 0.0 0.0
